Orthogroup	Capsella_rubella	Brassica_rapa
OG0000793	Carub.0005s0585.1.p	Bra039077
OG0000793	Carub.0007s1437.1.p	Bra002854, Bra026427
OG0000793	Carub.0001s4438.1.p	Bra030832
OG0000795	Carub.0001s2860.1.p	Bra014879
OG0000795	Carub.0004s1635.1.p	Bra005402
OG0000795	Carub.0001s2859.1.p	Bra032385, Bra010773
OG0000796	Carub.0008s2543.1.p	Bra002149, Bra034569
OG0000796	Carub.0006s0817.1.p	Bra028619, Bra009400, Bra009401, Bra028617, Bra006031
OG0000797	Carub.0003s1823.1.p	Bra022323
OG0000797	Carub.0001s3821.1.p	Bra018774
OG0000798	Carub.0002s0037.1.p	Bra027700
OG0000798	Carub.0006s2980.1.p	Bra035259, Bra033159
OG0000798	Carub.0007s1728.1.p	Bra013735
OG0000799	Carub.0006s3317.1.p	Bra034606, Bra029569
OG0000799	Carub.0006s3413.1.p	Bra036231, Bra000852, Bra000851, Bra036230
OG0000800	Carub.0008s0486.1.p	Bra033696
OG0000800	Carub.0007s2752.1.p	Bra036882
OG0000800	Carub.0003s2302.1.p	Bra033901, Bra001891
OG0000801	Carub.0003s0110.1.p	Bra039148, Bra021481
OG0000801	Carub.0007s2990.1.p	Bra006297, Bra035997
OG0000802	Carub.0001s0361.1.p	Bra030570, Bra015316
OG0000802	Carub.0003s2353.1.p	Bra001909, Bra014936
OG0000803	Carub.0001s0256.1.p	Bra033398
OG0000803	Carub.0007s3659.1.p	Bra028236
OG0000803	Carub.0005s0806.1.p	Bra036215, Bra025394
OG0000804	Carub.0006s0966.1.p, Carub.0006s0968.1.p	Bra006091, Bra008983, Bra008984, Bra023311, Bra023312
OG0000805	Carub.0003s0148.1.p	Bra021464
OG0000805	Carub.0006s1401.1.p	Bra023541, Bra008668
OG0000805	Carub.0006s1400.1.p	Bra008669
OG0000806	Carub.0004s0501.1.p	Bra017184
OG0000806	Carub.0006s3420.1.p	Bra018526
OG0000806	Carub.0005s1239.1.p, Carub.0001s0235.1.p	Bra033379
OG0000807	Carub.0007s1614.1.p, Carub.0008s1059.1.p	Bra019202, Bra022517, Bra013846, Bra000627
OG0000807	Carub.0005s1476.1.p	Bra018047
OG0000808	Carub.0001s4381.1.p	Bra011910, Bra037991
OG0000808	Carub.0003s1305.1.p	Bra039394, Bra030870
OG0000808	Carub.0003s1131.1.p	Bra034794
OG0000809	Carub.0006s0431.1.p	Bra009110
OG0000809	Carub.0004s2262.1.p	Bra004965
OG0000809	Carub.0005s2286.1.p	Bra003228
OG0000810	Carub.0005s1085.1.p	Bra037626
OG0000810	Carub.0008s2146.1.p	Bra002451
OG0000810	Carub.0005s1084.1.p	Bra034142, Bra038302, Bra037625
OG0000812	Carub.0008s1548.1.p	Bra035560, Bra002928
OG0000812	Carub.0007s1400.1.p	Bra010425, Bra019083, Bra026399
OG0000813	Carub.0004s2286.1.p, Carub.0004s2282.1.p	Bra000193, Bra003237
OG0000813	Carub.0005s2312.1.p	Bra007238, Bra014697
OG0000814	Carub.0007s2101.1.p	Bra013445
OG0000814	Carub.0004s1664.1.p	Bra021940
OG0000814	Carub.0001s2924.1.p	Bra023151
OG0000815	Carub.0007s3000.1.p, Carub.0003s2251.1.p	Bra036441
OG0000816	Carub.0004s2626.1.p	Bra037687
OG0000816	Carub.0001s0508.1.p	Bra032454
OG0000816	Carub.0004s1303.1.p	Bra005645
OG0000817	Carub.0006s2225.1.p	Bra009764, Bra009761, Bra009763
OG0000817	Carub.0006s2224.1.p	Bra009759
OG0000818	Carub.0008s0560.1.p	Bra033661
OG0000818	Carub.0005s1638.1.p	Bra029987
OG0000818	Carub.0006s0866.1.p	Bra009051
OG0000819	Carub.0007s2493.1.p, Carub.0007s2492.1.p, Carub.0007s2491.1.p	Bra012705, Bra040740
OG0000819	Carub.0007s2489.1.p	Bra038484
OG0000820	Carub.0005s0407.1.p, Carub.0005s0408.1.p, Carub.0005s0409.1.p	Bra025188
OG0000820	Carub.0005s0410.1.p	Bra025189, Bra025190
OG0000821	Carub.0005s1590.1.p	Bra017975
OG0000821	Carub.0006s2252.1.p	Bra020466
OG0000822	Carub.0002s1155.1.p	Bra004127
OG0000822	Carub.0001s3749.1.p	Bra014133
OG0000822	Carub.0003s1736.1.p	Bra021262, Bra001674
OG0000823	Carub.0004s0202.1.p	Bra019077
OG0000823	Carub.0002s0286.1.p	Bra010417
OG0000824	Carub.0005s2194.1.p, Carub.0007s0258.1.p	Bra014758
OG0000824	Carub.0004s2153.1.p	Bra000135, Bra017070
OG0000826	Carub.0008s0342.1.p	Bra025099, Bra025103
OG0000828	Carub.0001s1182.1.p, Carub.0001s1183.1.p	Bra026988, Bra016787
OG0000828	Carub.0002s0243.1.p, Carub.0002s0244.1.p	Bra027035
OG0000829	Carub.0001s2562.1.p	Bra012509
OG0000830	Carub.0007s1217.1.p	Bra011035
OG0000830	Carub.0001s0300.1.p, Carub.0008s0438.1.p	Bra032539, Bra030546, Bra015273
OG0000831	Carub.0004s1121.1.p	Bra031690, Bra019789, Bra033776
OG0000831	Carub.0002s0626.1.p	Bra027877, Bra035447
OG0000832	Carub.0001s0989.1.p	Bra019933
OG0000832	Carub.0002s0538.1.p	Bra027831, Bra035418, Bra017891, Bra025531
OG0000833	Carub.0006s0176.1.p	Bra028856, Bra001300
OG0000834	Carub.0005s2526.1.p	Bra007399, Bra003341
OG0000834	Carub.0004s2497.1.p	Bra016869
OG0000834	Carub.0005s2532.1.p	Bra003343, Bra007402
OG0000835	Carub.0006s3163.1.p, Carub.0006s3164.1.p, Carub.0006s3167.1.p, Carub.0006s3165.1.p, Carub.0006s3166.1.p	Bra000775, Bra029456
OG0000836	Carub.0001s3243.1.p, Carub.0004s2608.1.p	Bra037699
OG0000836	Carub.0004s2611.1.p	Bra000311, Bra027940
OG0000838	Carub.0007s2174.1.p	Bra012541
OG0000839	Carub.0007s0786.1.p, Carub.0007s0787.1.p	Bra011370
OG0000839	Carub.0006s2275.1.p	Bra011369
OG0000840	Carub.0007s3681.1.p, Carub.0006s1533.1.p, Carub.0007s3680.1.p, Carub.0007s3679.1.p	Bra030359, Bra030360, Bra028235, Bra028224
OG0000842	Carub.0002s1264.1.p	Bra004174
OG0000842	Carub.0002s1269.1.p	Bra022858, Bra004401, Bra004402
OG0000843	Carub.0003s2642.1.p	Bra031104
OG0000844	Carub.0007s1899.1.p	Bra019384, Bra013608, Bra013609
OG0000845	Carub.0007s3158.1.p	Bra035525
OG0000845	Carub.0001s2578.1.p	Bra010958, Bra030031
OG0000845	Carub.0006s1128.1.p	Bra006181, Bra008855
OG0000846	Carub.0007s0124.1.p	Bra033614, Bra011866
OG0000846	Carub.0004s0079.1.p, Carub.0004s0082.1.p	Bra030278, Bra031217
OG0000847	Carub.0003s1243.1.p	Bra039348, Bra039369
OG0000847	Carub.0003s1244.1.p	Bra034706
OG0000847	Carub.0003s1242.1.p	Bra039368, Bra001490, Bra001488
OG0000848	Carub.0004s1841.1.p	Bra005004
OG0000848	Carub.0004s2202.1.p	Bra005005
OG0000848	Carub.0005s2253.1.p	Bra007187, Bra014722
OG0000849	Carub.0004s1756.1.p	Bra023030
OG0000849	Carub.0006s0182.1.p	Bra028855, Bra005744, Bra009555
OG0000849	Carub.0003s0879.1.p	Bra034080
OG0000850	Carub.0008s1007.1.p	Bra029013
OG0000852	Carub.0001s0576.1.p	Bra030651
OG0000852	Carub.0007s2359.1.p	Bra012642
OG0000852	Carub.0002s1450.1.p	Bra004054
OG0000853	Carub.0003s3178.1.p	Bra037260
OG0000853	Carub.0007s0457.1.p	Bra011632
OG0000853	Carub.0007s0459.1.p	Bra011630
OG0000854	Carub.0001s0126.1.p, Carub.0001s0124.1.p	Bra033303, Bra033308, Bra033298, Bra033302, Bra033305, Bra033299, Bra032615
OG0000855	Carub.0005s0976.1.p, Carub.0007s3154.1.p, Carub.0007s0658.1.p	Bra034590, Bra011477
OG0000857	Carub.0002s0498.1.p, Carub.0170s0003.1.p, Carub.0002s0495.1.p, Carub.0170s0002.1.p, Carub.0002s0497.1.p	Bra002857, Bra002858, Bra002859, Bra031518, Bra035412
OG0000858	Carub.0001s4081.1.p	Bra018936
OG0000858	Carub.0001s4079.1.p	Bra018935
OG0000858	Carub.0001s4076.1.p	Bra030412, Bra018934
OG0000859	Carub.0001s1591.1.p	Bra026732
OG0000859	Carub.0001s1592.1.p	Bra026731
OG0000860	Carub.0007s3709.1.p, Carub.0007s3708.1.p	Bra032304
OG0000860	Carub.0005s1248.1.p	Bra028399
OG0000861	Carub.0004s3034.1.p	Bra004442, Bra014387
OG0000861	Carub.0005s2952.1.p	Bra000455
OG0000862	Carub.0003s0872.1.p	Bra034075, Bra001302, Bra029780
OG0000862	Carub.0006s0168.1.p	Bra005749, Bra009560
OG0000863	Carub.0004s2867.1.p	Bra004951
OG0000863	Carub.0006s3686.1.p	Bra008519, Bra037336
OG0000864	Carub.0003s0335.1.p, Carub.0001s1314.1.p	Bra026904, Bra016729, Bra019722
OG0000865	Carub.0004s2872.1.p	Bra039295, Bra000410
OG0000865	Carub.0002s0105.1.p, Carub.0007s3414.1.p	Bra028493, Bra025505
OG0000866	Carub.0002s1642.1.p	Bra003984
OG0000866	Carub.0001s1400.1.p	Bra016706
OG0000867	Carub.0002s1064.1.p, Carub.0005s0816.1.p, Carub.0002s1104.1.p, Carub.0002s1107.1.p, Carub.0002s1106.1.p	Bra031436, Bra031437
OG0000868	Carub.0006s0863.1.p	Bra028596
OG0000868	Carub.0007s0171.1.p	Bra011830
OG0000868	Carub.0004s0138.1.p	Bra030253, Bra038538
OG0000869	Carub.0004s2682.1.p	Bra004819, Bra022401, Bra004818
OG0000869	Carub.0004s2680.1.p	Bra004816
OG0000870	Carub.0002s1223.1.p	Bra029854
OG0000870	Carub.0005s2302.1.p	Bra007230, Bra014702, Bra003234
OG0000871	Carub.0004s1844.1.p	Bra005258
OG0000871	Carub.0005s1952.1.p	Bra028546, Bra006969, Bra019632
OG0000872	Carub.0001s4139.1.p	Bra018969, Bra030386
OG0000872	Carub.0002s2285.1.p	Bra008230
OG0000873	Carub.0007s0395.1.p, Carub.0002s0778.1.p	Bra010554
OG0000873	Carub.0003s3227.1.p	Bra037236, Bra039919
OG0000874	Carub.0007s0363.1.p	Bra010569
OG0000874	Carub.0002s0439.1.p	Bra027119, Bra031477
OG0000879	Carub.0005s0776.1.p	Bra032185
OG0000880	Carub.0005s1277.1.p, Carub.0005s1227.1.p	Bra019485
OG0000881	Carub.0006s3607.1.p	Bra037392, Bra000938
OG0000881	Carub.0001s0087.1.p	Bra033267
OG0000882	Carub.0005s0101.1.p	Bra012420
OG0000882	Carub.0001s3391.1.p, Carub.0001s1437.1.p	Bra016271, Bra016693, Bra026816, Bra026200
OG0000883	Carub.0008s2439.1.p	Bra038650
OG0000883	Carub.0006s0759.1.p	Bra028652, Bra009356
OG0000885	Carub.0002s2246.1.p	Bra008211, Bra015830
OG0000885	Carub.0001s1942.1.p	Bra016489, Bra025780, Bra012194, Bra012193
OG0000886	Carub.0004s1139.1.p	Bra021621, Bra018326, Bra022784
OG0000886	Carub.0001s0626.1.p	Bra015540, Bra031549, Bra030668
OG0000887	Carub.0003s3051.1.p	Bra013052
OG0000887	Carub.0007s0530.1.p	Bra017687, Bra011577
OG0000888	Carub.0007s0659.1.p	Bra034586
OG0000888	Carub.0007s0660.1.p, Carub.0007s0661.1.p	Bra034584, Bra034585, Bra017609
OG0000889	Carub.0003s1802.1.p	Bra011276, Bra011280
OG0000889	Carub.0001s1282.1.p	Bra037219, Bra026937, Bra016740, Bra030217, Bra030216
OG0000891	Carub.0001s2060.1.p	Bra016430
OG0000891	Carub.0002s2359.1.p, Carub.0002s2361.1.p, Carub.0002s2372.1.p	Bra008279
OG0000892	Carub.0004s2052.1.p, Carub.0004s2053.1.p, Carub.0004s2051.1.p, Carub.0003s2901.1.p, Carub.0003s2898.1.p	Bra005098, Bra017112, Bra005099, Bra017113
OG0000893	Carub.0005s1386.1.p	Bra018116
OG0000893	Carub.0172s0001.1.p	Bra012930
OG0000893	Carub.0008s2242.1.p	Bra012928
OG0000894	Carub.0001s3496.1.p	Bra026118
OG0000894	Carub.0001s1538.1.p, Carub.0001s1540.1.p, Carub.0001s1541.1.p, Carub.0001s1539.1.p, Carub.0001s1537.1.p	Bra026119
OG0000895	Carub.0007s0006.1.p	Bra040089
OG0000895	Carub.0004s0760.1.p	Bra000525
OG0000896	Carub.0001s0942.1.p	Bra019969, Bra031697, Bra031695
OG0000896	Carub.0002s0619.1.p	Bra027868, Bra017905, Bra035446
OG0000897	Carub.0001s0484.1.p	Bra030613
OG0000897	Carub.0007s2826.1.p	Bra010748, Bra032766
OG0000898	Carub.0005s1323.1.p	Bra018172
OG0000898	Carub.0005s1328.1.p	Bra033795
OG0000898	Carub.0005s1322.1.p	Bra018177
OG0000899	Carub.0001s2283.1.p	Bra012369
OG0000899	Carub.0002s1741.1.p, Carub.0002s1740.1.p	Bra003948, Bra016195, Bra007934
OG0000900	Carub.0004s1010.1.p, Carub.0004s1011.1.p	Bra018409, Bra040761, Bra040760, Bra040758
OG0000900	Carub.0004s1012.1.p	Bra040759
OG0000901	Carub.0005s1258.1.p	Bra025433, Bra028165
OG0000901	Carub.0002s1310.1.p	Bra040624
OG0000903	Carub.0006s3325.1.p, Carub.0006s3328.1.p	Bra029573
OG0000903	Carub.0003s2595.1.p, Carub.0003s2597.1.p	Bra032197
OG0000903	Carub.0001s3484.1.p	Bra036936
OG0000904	Carub.0001s3476.1.p	Bra034921
OG0000904	Carub.0008s0703.1.p, Carub.0008s0697.1.p, Carub.0003s2780.1.p	Bra013152, Bra040939, Bra037202
OG0000905	Carub.0004s0462.1.p	Bra032044
OG0000905	Carub.0006s1361.1.p	Bra008698, Bra023518
OG0000906	Carub.0003s0403.1.p, Carub.0007s0561.1.p	Bra040409, Bra026324, Bra040119, Bra001127, Bra011551, Bra017669, Bra034643
OG0000907	Carub.0006s3565.1.p, Carub.0006s3566.1.p	Bra008553, Bra036326, Bra036327
OG0000908	Carub.0003s0131.1.p	Bra039161
OG0000909	Carub.0005s2431.1.p	Bra014622, Bra007329
OG0000909	Carub.0004s2406.1.p	Bra004649
OG0000911	Carub.0006s2306.1.p, Carub.0006s2307.1.p	Bra020493
OG0000911	Carub.0001s3172.1.p, Carub.0008s2570.1.p	Bra015666, Bra031896, Bra024333
OG0000912	Carub.0005s1408.1.p	Bra019521, Bra018096, Bra033782
OG0000912	Carub.0008s2343.1.p	Bra029248, Bra010111, Bra035886, Bra035885
OG0000913	Carub.0001s1095.1.p	Bra031764, Bra016839, Bra003030, Bra019867
OG0000914	Carub.0002s0628.1.p	Bra032926
OG0000916	Carub.0006s1114.1.p	Bra006172, Bra008867
OG0000916	Carub.0005s2473.1.p, Carub.0001s4042.1.p	Bra020640, Bra014601, Bra003302
OG0000917	Carub.0001s2594.1.p	Bra010943, Bra032828
OG0000918	Carub.0002s1709.1.p, Carub.0002s1401.1.p, Carub.0002s1403.1.p, Carub.0002s1408.1.p, Carub.0002s1400.1.p, Carub.0004s0656.1.p, Carub.0004s0661.1.p, Carub.0002s1774.1.p, Carub.0002s1707.1.p, Carub.0002s1816.1.p	Bra029412, Bra029413
OG0000920	Carub.0005s1140.1.p, Carub.0004s2725.1.p, Carub.0004s2726.1.p	Bra031228, Bra031227, Bra031199, Bra034260, Bra037366, Bra034262, Bra040344, Bra034261
OG0000924	Carub.0001s2069.1.p	Bra030185
OG0000925	Carub.0001s0840.1.p	Bra031657
OG0000925	Carub.0007s3334.1.p	Bra022819, Bra023110, Bra015047
OG0000927	Carub.0003s1068.1.p	Bra001400
OG0000928	Carub.0006s0361.1.p, Carub.0008s0669.1.p, Carub.0008s0668.1.p	Bra009434
OG0000928	Carub.0007s0717.1.p	Bra011432, Bra034556
OG0000930	Carub.0007s0293.1.p	Bra017819
OG0000930	Carub.0007s0294.1.p, Carub.0002s1261.1.p, Carub.0002s1258.1.p	Bra011757
OG0000931	Carub.0007s1516.1.p	Bra013921
OG0000931	Carub.0008s1809.1.p	Bra002716, Bra020430
OG0000931	Carub.0003s3302.1.p	Bra038552, Bra024457
OG0000932	Carub.0007s1316.1.p	Bra026321, Bra019032
OG0000932	Carub.0008s1445.1.p	Bra003008, Bra029042
OG0000933	Carub.0003s2410.1.p	Bra014981
OG0000933	Carub.0007s2838.1.p	Bra032756, Bra038967
OG0000933	Carub.0007s2839.1.p	Bra038966, Bra032755, Bra038964
OG0000934	Carub.0006s0453.1.p	Bra009122
OG0000934	Carub.0001s3015.1.p	Bra023209
OG0000934	Carub.0001s3016.1.p	Bra023210
OG0000935	Carub.0001s1478.1.p	Bra026170, Bra016675
OG0000935	Carub.0005s0028.1.p	Bra014327, Bra024891, Bra017460
OG0000936	Carub.0004s0536.1.p, Carub.0004s0538.1.p, Carub.0004s0535.1.p, Carub.0004s0537.1.p	Bra038513
OG0000936	Carub.0004s0100.1.p, Carub.0004s0107.1.p, Carub.0004s0104.1.p, Carub.0007s2700.1.p, Carub.0003s2443.1.p	Bra030272, Bra030237
OG0000938	Carub.0003s0415.1.p	Bra001131
OG0000938	Carub.0006s2555.1.p	Bra036115
OG0000939	Carub.0014s0002.1.p	Bra037523
OG0000939	Carub.0005s0461.1.p	Bra034244
OG0000939	Carub.0001s1269.1.p	Bra016748
OG0000940	Carub.0006s3695.1.p	Bra037329
OG0000940	Carub.0001s2252.1.p	Bra032641
OG0000940	Carub.0001s0066.1.p	Bra033252, Bra032640
OG0000942	Carub.0006s0460.1.p	Bra005864, Bra009130
OG0000943	Carub.0003s0827.1.p	Bra029747
OG0000943	Carub.0006s0056.1.p	Bra005691
OG0000943	Carub.0006s2566.1.p	Bra009992
OG0000944	Carub.0001s0148.1.p	Bra032604
OG0000944	Carub.0002s1778.1.p	Bra016170
OG0000944	Carub.0001s2256.1.p	Bra024560, Bra012356
OG0000945	Carub.0005s0386.1.p	Bra041060, Bra013488
OG0000945	Carub.0007s1889.1.p, Carub.0007s1819.1.p	Bra020069, Bra033800, Bra002267, Bra002344, Bra002428
OG0000946	Carub.0006s3649.1.p	Bra037355
OG0000946	Carub.0005s2780.1.p	Bra003439
OG0000946	Carub.0004s2844.1.p	Bra004934
OG0000947	Carub.0003s0927.1.p, Carub.0006s0279.1.p, Carub.0008s2493.1.p	Bra028814, Bra037765, Bra005784, Bra009507
OG0000948	Carub.0006s1326.1.p	Bra008723
OG0000948	Carub.0003s0087.1.p	Bra040507, Bra006664, Bra001010, Bra039131
OG0000949	Carub.0002s1681.1.p	Bra016234
OG0000949	Carub.0007s1154.1.p	Bra011080
OG0000949	Carub.0002s1678.1.p	Bra016235, Bra007896
OG0000950	Carub.0008s0800.1.p, Carub.0008s0799.1.p	Bra036174, Bra036175, Bra037487, Bra020701, Bra020702, Bra020703
OG0000951	Carub.0006s1702.1.p	Bra006479, Bra006478
OG0000952	Carub.0007s1866.1.p	Bra020839
OG0000952	Carub.0007s1867.1.p	Bra013631
OG0000953	Carub.0007s1310.1.p	Bra026312, Bra026313
OG0000953	Carub.0005s1555.1.p	Bra017992
OG0000954	Carub.0006s0666.1.p	Bra005949
OG0000954	Carub.0008s2210.1.p	Bra012961, Bra035929, Bra029311
OG0000955	Carub.0003s1123.1.p	Bra038685, Bra001426, Bra034802
OG0000955	Carub.0006s0549.1.p	Bra009210, Bra005900, Bra028727
OG0000956	Carub.0003s1044.1.p	Bra034864, Bra034166, Bra001391
OG0000956	Carub.0001s0167.1.p, Carub.0003s0767.1.p	Bra001286
OG0000957	Carub.0006s0382.1.p	Bra009414
OG0000957	Carub.0005s0011.1.p	Bra024903
OG0000957	Carub.0001s3780.1.p	Bra018747
OG0000959	Carub.0005s2935.1.p	Bra007693, Bra003506, Bra014399, Bra014398
OG0000960	Carub.0008s0113.1.p	Bra017526, Bra024995
OG0000960	Carub.0007s2349.1.p	Bra012635, Bra021032, Bra013262
OG0000961	Carub.0008s1698.1.p	Bra028922
OG0000961	Carub.0003s1293.1.p	Bra001507
OG0000961	Carub.0001s4398.1.p	Bra030858, Bra011919
OG0000962	Carub.0005s1544.1.p	Bra018001, Bra029939
OG0000962	Carub.0005s1543.1.p	Bra029938
OG0000963	Carub.0008s1640.1.p	Bra035602, Bra002851
OG0000963	Carub.0006s0389.1.p	Bra005831
OG0000964	Carub.0007s2062.1.p	Bra013475
OG0000964	Carub.0008s0406.1.p	Bra027555
OG0000965	Carub.0003s2584.1.p, Carub.0007s3614.1.p, Carub.0007s3600.1.p	Bra013215
OG0000966	Carub.0008s2009.1.p	Bra002568
OG0000966	Carub.0006s0094.1.p	Bra009613
OG0000966	Carub.0003s0841.1.p	Bra029757, Bra001317, Bra034064
OG0000967	Carub.0004s0784.1.p	Bra034339
OG0000967	Carub.0001s0778.1.p	Bra030725
OG0000967	Carub.0001s0779.1.p	Bra030726, Bra018625
OG0000968	Carub.0003s3084.1.p, Carub.0003s3083.1.p, Carub.0003s3085.1.p, Carub.0003s3081.1.p	Bra037285
OG0000968	Carub.0003s3086.1.p	Bra013037
OG0000969	Carub.0001s2440.1.p, Carub.0006s0204.1.p	Bra016282, Bra024702
OG0000969	Carub.0002s1601.1.p	Bra004379
OG0000970	Carub.0004s2360.1.p	Bra000224
OG0000970	Carub.0005s2384.1.p	Bra014649, Bra003265, Bra007295
OG0000971	Carub.0007s2595.1.p	Bra033507, Bra038073, Bra012771, Bra012770, Bra033508, Bra038072
OG0000972	Carub.0008s1364.1.p	Bra003054
OG0000972	Carub.0003s0805.1.p, Carub.0003s0806.1.p	Bra029733
OG0000973	Carub.0003s0441.1.p	Bra039457
OG0000973	Carub.0006s2520.1.p, Carub.0006s2519.1.p	Bra020592, Bra020593, Bra020595, Bra009968
OG0000974	Carub.0002s0131.1.p	Bra027650
OG0000974	Carub.0002s0132.1.p	Bra027798
OG0000975	Carub.0001s2043.1.p	Bra008413, Bra022718, Bra012260, Bra020835
OG0000976	Carub.0007s1646.1.p, Carub.0007s1746.1.p	Bra000072
OG0000977	Carub.0001s0362.1.p	Bra015317, Bra034976, Bra032511
OG0000977	Carub.0008s0529.1.p	Bra027483, Bra035974
OG0000978	Carub.0006s1154.1.p	Bra023405
OG0000978	Carub.0006s1152.1.p, Carub.0006s1153.1.p	Bra006196, Bra008833, Bra039630
OG0000979	Carub.0006s2484.1.p, Carub.0001s3138.1.p	Bra035980, Bra039999
OG0000980	Carub.0008s2705.1.p	Bra037847, Bra031833, Bra012164
OG0000980	Carub.0005s1630.1.p	Bra036040, Bra012913
OG0000981	Carub.0001s2608.1.p, Carub.0001s2909.1.p	Bra029397
OG0000982	Carub.0007s1288.1.p	Bra010389, Bra026295, Bra040839
OG0000982	Carub.0008s1347.1.p	Bra003068, Bra029079, Bra022643
OG0000983	Carub.0005s2730.1.p	Bra003422, Bra014483, Bra007545
OG0000983	Carub.0004s2771.1.p	Bra040325, Bra000372
OG0000984	Carub.0004s1487.1.p, Carub.0008s0192.1.p, Carub.0004s1486.1.p	Bra011210, Bra010278, Bra039897, Bra010277
OG0000985	Carub.0007s2424.1.p	Bra026231, Bra021065
OG0000985	Carub.0007s0437.1.p	Bra011645
OG0000986	Carub.0002s2158.1.p	Bra015892, Bra003785
OG0000986	Carub.0008s2332.1.p	Bra010102
OG0000987	Carub.0005s1142.1.p, Carub.0005s1144.1.p, Carub.0005s1143.1.p, Carub.0007s1300.1.p, Carub.0005s2941.1.p	Bra007699, Bra014395, Bra034697, Bra007698
OG0000988	Carub.0003s2989.1.p	Bra001967, Bra001966
OG0000989	Carub.0004s2790.1.p	Bra002431
OG0000990	Carub.0002s0511.1.p	Bra031526, Bra017888
OG0000990	Carub.0001s2336.1.p	Bra016328
OG0000991	Carub.0003s2924.1.p, Carub.0006s2723.1.p	Bra022203
OG0000991	Carub.0006s2544.1.p, Carub.0002s0897.1.p, Carub.0002s1162.1.p	Bra009725, Bra032008
OG0000992	Carub.0008s1369.1.p	Bra022658, Bra029064
OG0000992	Carub.0007s1309.1.p	Bra026311
OG0000992	Carub.0008s1368.1.p	Bra029065, Bra003050
OG0000993	Carub.0008s0854.1.p	Bra037461, Bra036160
OG0000993	Carub.0004s1408.1.p	Bra022898, Bra021809, Bra005564
OG0000994	Carub.0007s1880.1.p	Bra013622
OG0000994	Carub.0007s1881.1.p, Carub.0007s1882.1.p	Bra020845
OG0000995	Carub.0001s2288.1.p	Bra016354, Bra012370
OG0000995	Carub.0002s1733.1.p	Bra003951, Bra007929
OG0000996	Carub.0007s3337.1.p	Bra028519
OG0000996	Carub.0001s0098.1.p	Bra032628, Bra033276
OG0000997	Carub.0004s2143.1.p	Bra017078, Bra005044, Bra005045, Bra005046
OG0000997	Carub.0005s2179.1.p	Bra014771, Bra007146
OG0000998	Carub.0004s0762.1.p, Carub.0004s0759.1.p	Bra034322, Bra012034
OG0000999	Carub.0005s0268.1.p, Carub.0008s1783.1.p	Bra006826, Bra020451, Bra002738
OG0000999	Carub.0007s1045.1.p	Bra011168, Bra024105, Bra010303
OG0001000	Carub.0002s0691.1.p	Bra010472
OG0001000	Carub.0001s1673.1.p, Carub.0001s1674.1.p	Bra026693
OG0001001	Carub.0001s2381.1.p	Bra012409, Bra012422, Bra024659
OG0001002	Carub.0006s0445.1.p	Bra009119
OG0001002	Carub.0003s1039.1.p	Bra028292, Bra034165, Bra034866
OG0001003	Carub.0002s2332.1.p	Bra003720, Bra015751, Bra008257
OG0001003	Carub.0001s2028.1.p	Bra025846, Bra016449, Bra012251
OG0001004	Carub.0005s2859.1.p	Bra007632, Bra014418
OG0001004	Carub.0004s2931.1.p	Bra039272, Bra004525, Bra000429
OG0001005	Carub.0005s1636.1.p	Bra036044, Bra029986
OG0001006	Carub.0006s3146.1.p, Carub.0006s3144.1.p, Carub.0006s3142.1.p, Carub.0006s3143.1.p	Bra000769, Bra000768, Bra029445, Bra018471
OG0001008	Carub.0005s2554.1.p	Bra003355, Bra007417
OG0001008	Carub.0004s2523.1.p	Bra004720
OG0001009	Carub.0002s2627.1.p	Bra035115, Bra040629, Bra035116
OG0001009	Carub.0001s1611.1.p	Bra026060, Bra026061, Bra026062
OG0001010	Carub.0001s3583.1.p, Carub.0001s3563.1.p	Bra039851
OG0001010	Carub.0001s3851.1.p	Bra032280, Bra014182
OG0001011	Carub.0001s2499.1.p	Bra012474, Bra024741, Bra010996
OG0001012	Carub.0004s2673.1.p, Carub.0001s3881.1.p, Carub.0004s2672.1.p	Bra040481
OG0001012	Carub.0008s1752.1.p	Bra020717, Bra002770
OG0001013	Carub.0007s0382.1.p	Bra011686, Bra017764, Bra011687, Bra010557
OG0001014	Carub.0003s1608.1.p	Bra001628, Bra027172
OG0001014	Carub.0001s4108.1.p	Bra030397, Bra041079
OG0001015	Carub.0004s2847.1.p	Bra039316, Bra004936, Bra000402
OG0001015	Carub.0005s2786.1.p	Bra014450, Bra007581, Bra033129
OG0001016	Carub.0002s0637.1.p, Carub.0001s0211.1.p	Bra033362, Bra033363
OG0001016	Carub.0006s3457.1.p	Bra000874, Bra036257
OG0001017	Carub.0001s1328.1.p	Bra026896, Bra026895, Bra019715
OG0001017	Carub.0005s0324.1.p	Bra025144
OG0001018	Carub.0003s3229.1.p, Carub.0003s3228.1.p	Bra039920
OG0001018	Carub.0007s0388.1.p	Bra011681, Bra041169, Bra017761
OG0001019	Carub.0006s2716.1.p	Bra022623
OG0001019	Carub.0001s2170.1.p	Bra031368
OG0001019	Carub.0002s2489.1.p	Bra008340, Bra015641
OG0001020	Carub.0002s2554.1.p	Bra035058
OG0001020	Carub.0002s2553.1.p	Bra035056
OG0001021	Carub.0001s3592.1.p	Bra040749, Bra014057, Bra005478, Bra005479
OG0001021	Carub.0008s0570.1.p	Bra035339, Bra033657
