Orthogroup	Capsella_rubella	Brassica_rapa
OG0000018	Carub.0007s3458.1.p	Bra036019
OG0000018	Carub.0007s3372.1.p	Bra025467
OG0000018	Carub.0002s0109.1.p	Bra027660, Bra027791, Bra027790
OG0000018	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p	Bra027778
OG0000019	Carub.0002s1143.1.p, Carub.0003s2137.1.p	Bra001827
OG0000019	Carub.0008s2031.1.p	Bra020300, Bra020303
OG0000019	Carub.0005s1218.1.p	Bra033825
OG0000019	Carub.0004s1000.1.p	Bra028386
OG0000019	Carub.0001s0687.1.p	Bra015587
OG0000019	Carub.0001s0689.1.p	Bra031584
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	Bra024648, Bra024647
OG0000023	Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p	Bra009957, Bra009956
OG0000023	Carub.0001s2993.1.p	Bra017173, Bra017172
OG0000024	Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p	Bra027866
OG0000024	Carub.0002s0583.1.p	Bra027834, Bra036206, Bra035424
OG0000024	Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p	Bra027843
OG0000024	Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p, Carub.0002s0550.1.p	Bra013134
OG0000024	Carub.0002s0811.1.p	Bra005277, Bra040841, Bra040891, Bra037448
OG0000024	Carub.0001s1050.1.p, Carub.0001s4253.1.p	Bra018448
OG0000029	Carub.0006s0158.1.p	Bra005753
OG0000029	Carub.0006s0172.1.p	Bra027905, Bra027903, Bra027901
OG0000029	Carub.0006s0171.1.p	Bra009558
OG0000030	Carub.0002s0150.1.p	Bra027658
OG0000031	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p	Bra032036, Bra032049
OG0000031	Carub.0007s3593.1.p, Carub.0007s3733.1.p, Carub.0007s3726.1.p	Bra030421, Bra028194
OG0000031	Carub.0005s2152.1.p	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112
OG0000032	Carub.0005s1268.1.p	Bra025543
OG0000032	Carub.0005s1261.1.p	Bra028402
OG0000032	Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p	Bra019074
OG0000032	Carub.0002s1316.1.p	Bra034038
OG0000032	Carub.0002s1315.1.p, Carub.0002s1319.1.p, Carub.0002s1320.1.p	Bra034039, Bra004199
OG0000032	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p	Bra034042, Bra004198, Bra038467
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	Bra031482
OG0000033	Carub.0001s1196.1.p	Bra015597
OG0000033	Carub.0001s1197.1.p	Bra026979
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010
OG0000037	Carub.0003s1860.1.p, Carub.0001s3843.1.p	Bra037560
OG0000037	Carub.0003s1145.1.p	Bra034778
