Orthogroup	Capsella_rubella	Thellungiella_parvula
OG0000064	Carub.0001s1734.1.p	Sp1g15710.1
OG0000064	Carub.0006s1882.1.p	Sp6g23970.1
OG0000064	Carub.0005s2501.1.p	Sp5g04560.1
OG0000064	Carub.0002s0909.1.p	SpUn0001_0160.1
OG0000064	Carub.0001s0808.1.p	Sp1g07380.1
OG0000065	Carub.0002s2263.1.p	Sp5g30900.1
OG0000065	Carub.0008s0413.1.p	Sp2g09180.1
OG0000065	Carub.0007s2054.1.p	Sp7g18980.1
OG0000065	Carub.0006s1076.1.p	Sp6g31390.1
OG0000065	Carub.0006s2158.1.p	Sp2g23430.1
OG0000065	Carub.0004s1060.1.p	Sp4g12280.1
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	Sp5g14830.1
OG0000066	Carub.0003s1935.1.p, Carub.0003s1934.1.p, Carub.0001s2694.1.p, Carub.0001s2632.1.p, Carub.0001s2342.1.p	Sp7g00780.1
OG0000068	Carub.0002s2286.1.p	Sp5g31070.1
OG0000068	Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	Sp4g08260.1, Sp5g03170.1
OG0000069	Carub.0005s1176.1.p	Sp5g08650.1
OG0000069	Carub.0005s1176.1.p	Sp6g21360.1
OG0000069	Carub.0005s1176.1.p	Sp4g11600.1
OG0000069	Carub.0005s1176.1.p	Sp4g19900.1
OG0000069	Carub.0005s1176.1.p	Sp1g06390.1
OG0000069	Carub.0005s2031.1.p	Sp5g08650.1
OG0000069	Carub.0005s2031.1.p	Sp6g21360.1
OG0000069	Carub.0005s2031.1.p	Sp4g11600.1
OG0000069	Carub.0005s2031.1.p	Sp4g19900.1
OG0000069	Carub.0005s2031.1.p	Sp1g06390.1
OG0000069	Carub.0005s1217.1.p	Sp5g08650.1
OG0000069	Carub.0005s1217.1.p	Sp6g21360.1
OG0000069	Carub.0005s1217.1.p	Sp4g11600.1
OG0000069	Carub.0005s1217.1.p	Sp4g19900.1
OG0000069	Carub.0005s1217.1.p	Sp1g06390.1
OG0000069	Carub.0001s0700.1.p	Sp5g08650.1
