Orthogroup	Capsella_rubella	Thellungiella_parvula
OG0001128	Carub.0003s1684.1.p	Sp3g15320.1
OG0001129	Carub.0002s2032.1.p	Sp5g28740.1
OG0001129	Carub.0001s3770.1.p	Sp1g35540.1
OG0001129	Carub.0003s1770.1.p	Sp3g16100.1
OG0001130	Carub.0003s2606.1.p	Sp3g23220.1
OG0001130	Carub.0008s1620.1.p	Sp6g17730.1
OG0001131	Carub.0008s0581.1.p, Carub.0005s2236.1.p	Sp5g06860.1
OG0001131	Carub.0004s2190.1.p	Sp4g22080.1
OG0001132	Carub.0004s2090.1.p, Carub.0004s2089.1.p	Sp4g21250.1
OG0001133	Carub.0005s2300.1.p	Sp5g06280.1
OG0001133	Carub.0004s2269.1.p	Sp4g22780.1
OG0001134	Carub.0008s0146.1.p	Sp2g11280.1, Sp7g16010.1
OG0001135	Carub.0002s0017.1.p	Sp2g00160.1
OG0001135	Carub.0002s0018.1.p	Sp2g00170.1
OG0001135	Carub.0006s1485.1.p	Sp6g27510.1
OG0001136	Carub.0002s2328.1.p	Sp5g31530.1
OG0001136	Carub.0001s2014.1.p	Sp1g18380.1
OG0001137	Carub.0008s1554.1.p	Sp6g17120.1
OG0001137	Carub.0008s1536.1.p, Carub.0006s1838.1.p, Carub.0006s1839.1.p	Sp6g24380.1
OG0001138	Carub.0003s2441.1.p	Sp7g10350.1, Sp1g21490.1
OG0001138	Carub.0003s0200.1.p	Sp3g01930.1
OG0001139	Carub.0006s2273.1.p	Sp2g22570.1
OG0001139	Carub.0006s0914.1.p	Sp6g32790.1
OG0001140	Carub.0001s1932.1.p	Sp1g17600.1
OG0001140	Carub.0002s2238.1.p	Sp5g30650.1
OG0001141	Carub.0002s0733.1.p	Sp2g06160.1
OG0001141	Carub.0001s0865.1.p	Sp1g07920.1
OG0001142	Carub.0008s1476.1.p	Sp6g16440.1
OG0001142	Carub.0007s1357.1.p	Sp7g25230.1
OG0001143	Carub.0002s1514.1.p, Carub.0003s3154.1.p	Sp3g30820.1
OG0001143	Carub.0001s2500.1.p	Sp1g22730.1
OG0001144	Carub.0003s3203.1.p	SpUn0673_0010.1, SpUn0230_0010.1
OG0001144	Carub.0007s0419.1.p	Sp7g33820.1
OG0001145	Carub.0003s0850.1.p	Sp3g07770.1
OG0001146	Carub.0007s1286.1.p	Sp7g25930.1
OG0001146	Carub.0006s2175.1.p	Sp2g23280.1
OG0001147	Carub.0002s1357.1.p	Sp5g22220.1
OG0001147	Carub.0006s1793.1.p	Sp6g24810.1
OG0001149	Carub.0008s2275.1.p	Sp2g25240.1
OG0001149	Carub.0006s0620.1.p	Sp6g35650.1
OG0001150	Carub.0007s0515.1.p	Sp7g32920.1
OG0001151	Carub.0005s0416.1.p	Sp2g15430.1
OG0001151	Carub.0005s0412.1.p, Carub.0005s0414.1.p, Carub.0005s0413.1.p	Sp2g15410.1
OG0001152	Carub.0004s2531.1.p	Sp4g25000.1
OG0001152	Carub.0005s2563.1.p	Sp5g04010.1
OG0001154	Carub.0001s3594.1.p	Sp1g34220.1
OG0001154	Carub.0004s0891.1.p, Carub.0004s0890.1.p, Carub.0003s3188.1.p	Sp4g26450.1
OG0001154	Carub.0005s0789.1.p, Carub.0003s3358.1.p, Carub.0003s3360.1.p	Sp7g04000.1, Sp7g03990.1, Sp3g32730.1
OG0001155	Carub.0001s2525.1.p	Sp1g22940.1
OG0001156	Carub.0006s2076.1.p	Sp6g22400.1
OG0001156	Carub.0004s0856.1.p, Carub.0003s2958.1.p	Sp3g31950.1
OG0001160	Carub.0001s3293.1.p	Sp1g30110.1
OG0001161	Carub.0006s1903.1.p	Sp6g23800.1
OG0001161	Carub.0005s0892.1.p	SpUn0007_0040.1, SpUn0130_0020.1
OG0001162	Carub.0001s1761.1.p	Sp1g15970.1
OG0001165	Carub.0001s2175.1.p	Sp1g19700.1
OG0001165	Carub.0001s3355.1.p	Sp1g30590.1
OG0001166	Carub.0005s0553.1.p	Sp2g16420.1
OG0001166	Carub.0001s3779.1.p	Sp1g35620.1
OG0001166	Carub.0007s3471.1.p	Sp7g01120.1
OG0001167	Carub.0005s1014.1.p, Carub.0005s1013.1.p	Sp7g28530.1, Sp7g28520.1
OG0001167	Carub.0007s0992.1.p	Sp7g28550.1
OG0001168	Carub.0005s2728.1.p	Sp5g02670.1
OG0001168	Carub.0004s2767.1.p	Sp4g27140.1
OG0001169	Carub.0002s2433.1.p	Sp5g32590.1
OG0001169	Carub.0001s2116.1.p	Sp1g19280.1
OG0001170	Carub.0006s2039.1.p, Carub.0006s2043.1.p, Carub.0005s1049.1.p, Carub.0005s1103.1.p	Sp5g16420.1
OG0001172	Carub.0002s1965.1.p	Sp5g27850.1
OG0001172	Carub.0003s3359.1.p	Sp3g32740.1
OG0001172	Carub.0004s1479.1.p	Sp7g27650.1
OG0001173	Carub.0002s0290.1.p, Carub.0005s0578.1.p, Carub.0003s1450.1.p	Sp3g13050.1
OG0001174	Carub.0003s0458.1.p	Sp3g04170.1
OG0001174	Carub.0006s2502.1.p	Sp2g20720.1
OG0001175	Carub.0008s0948.1.p	Sp2g19930.1
OG0001175	Carub.0003s0595.1.p	Sp3g05440.1
OG0001176	Carub.0008s1991.1.p	Sp6g20940.1
OG0001176	Carub.0005s1312.1.p	Sp5g14850.1
OG0001177	Carub.0001s4315.1.p	Sp1g40360.1
OG0001177	Carub.0003s1395.1.p	Sp3g12550.1
OG0001178	Carub.0003s0483.1.p	Sp3g04380.1
OG0001178	Carub.0003s1637.1.p	Sp3g14930.1
OG0001179	Carub.0008s2257.1.p, Carub.0004s0657.1.p	Sp2g25080.1
OG0001179	Carub.0006s0627.1.p	Sp6g35580.1
OG0001180	Carub.0002s2019.1.p, Carub.0002s2018.1.p	Sp5g28640.1
OG0001182	Carub.0008s2572.1.p	Sp2g27970.1
OG0001183	Carub.0005s1653.1.p	Sp5g11950.1
OG0001183	Carub.0005s1596.1.p	Sp5g12480.1
OG0001184	Carub.0001s4168.1.p	Sp1g39230.1
OG0001184	Carub.0003s1542.1.p	Sp3g13970.1
OG0001185	Carub.0007s3385.1.p	Sp7g00430.1
OG0001185	Carub.0007s1742.1.p	Sp7g21630.1
OG0001186	Carub.0007s0666.1.p	Sp7g31510.1
OG0001187	Carub.0001s2274.1.p	Sp1g20630.1
OG0001187	Carub.0002s1751.1.p	Sp5g25950.1
OG0001188	Carub.0004s1743.1.p	Sp4g17960.1
OG0001188	Carub.0007s2463.1.p	Sp7g17370.1
OG0001189	Carub.0006s0677.1.p	Sp6g35070.1
OG0001189	Carub.0008s2187.1.p	Sp2g24440.1
OG0001190	Carub.0001s3884.1.p	Sp1g36580.1
OG0001190	Carub.0001s3885.1.p	Sp1g36570.1
OG0001190	Carub.0001s3886.1.p	Sp1g36540.1
OG0001191	Carub.0007s2348.1.p	Sp7g16240.1
OG0001191	Carub.0008s0116.1.p	Sp2g11570.1, SpUn0036_0040.1
OG0001192	Carub.0006s1335.1.p, Carub.0006s1336.1.p	Sp6g28890.1
OG0001192	Carub.0003s0095.1.p	Sp3g00910.1
OG0001193	Carub.0001s1191.1.p	Sp1g10850.1
OG0001193	Carub.0002s0232.1.p	Sp2g01990.1
OG0001194	Carub.0008s2794.1.p	Sp2g30140.1
OG0001194	Carub.0005s1720.1.p	Sp5g11400.1
OG0001195	Carub.0007s3705.1.p	Sp7g03120.1, Sp7g03110.1, SpUn1066_0010.1
OG0001196	Carub.0004s2431.1.p	Sp4g24250.1
OG0001196	Carub.0005s2489.1.p	Sp5g04680.1
OG0001197	Carub.0007s1982.1.p	Sp7g19730.1
OG0001198	Carub.0003s0129.1.p	Sp3g01250.1
OG0001198	Carub.0006s1375.1.p	Sp6g28510.1
OG0001199	Carub.0001s1465.1.p	Sp1g13300.1
OG0001199	Carub.0005s0062.1.p	Sp2g13130.1
OG0001200	Carub.0003s3436.1.p	Sp3g33380.1
OG0001200	Carub.0007s1180.1.p	Sp7g26840.1
OG0001201	Carub.0007s2810.1.p	Sp7g12210.1
OG0001201	Carub.0007s2809.1.p	Sp7g12270.1
OG0001202	Carub.0002s1226.1.p	Sp5g21330.1
OG0001202	Carub.0007s3288.1.p	SpUn0215_0010.1, Sp7g04340.1
OG0001203	Carub.0008s0551.1.p	Sp2g07960.1
OG0001203	Carub.0001s2625.1.p	Sp1g23970.1
OG0001204	Carub.0001s2811.1.p, Carub.0003s2844.1.p	Sp1g25770.1
OG0001205	Carub.0007s3380.1.p	Sp7g00380.1
OG0001206	Carub.0005s1751.1.p	Sp6g03340.1
OG0001206	Carub.0008s0193.1.p	Sp7g19710.1
OG0001206	Carub.0007s3361.1.p	Sp7g00320.1
OG0001207	Carub.0004s2016.1.p	Sp4g20500.1
OG0001207	Carub.0003s1052.1.p	Sp3g09490.1
OG0001208	Carub.0004s0903.1.p, Carub.0004s0907.1.p	Sp4g11020.1
OG0001208	Carub.0001s0743.1.p	Sp1g06740.1
OG0001209	Carub.0008s1847.1.p	Sp6g19610.1
OG0001209	Carub.0007s1001.1.p	Sp7g28440.1
OG0001209	Carub.0004s0314.1.p	Sp4g02890.1
OG0001210	Carub.0001s2757.1.p	SpUn0746_0010.1, Sp1g25310.1, SpUn1257_0010.1, Sp1g25300.1
OG0001211	Carub.0006s1605.1.p	Sp6g26430.1
OG0001212	Carub.0004s2854.1.p	Sp4g27910.1
OG0001212	Carub.0005s2794.1.p	Sp5g02090.1
OG0001213	Carub.0002s1031.1.p, Carub.0002s1062.1.p, Carub.0002s1032.1.p	Sp5g19840.1
OG0001214	Carub.0004s0278.1.p	Sp4g02520.1
OG0001214	Carub.0004s0277.1.p, Carub.0004s0279.1.p	Sp4g02530.1
OG0001215	Carub.0001s0644.1.p	Sp1g05920.1
OG0001215	Carub.0004s1114.1.p	Sp4g12600.1
OG0001216	Carub.0007s2260.1.p	Sp7g15400.1
OG0001216	Carub.0008s0209.1.p, Carub.0008s0210.1.p	Sp2g10780.1
OG0001217	Carub.0003s0431.1.p	Sp3g03890.1
OG0001217	Carub.0006s2538.1.p	Sp2g20400.1
OG0001218	Carub.0008s0766.1.p, Carub.0003s2832.1.p	Sp1g20580.1
OG0001218	Carub.0007s2684.1.p, Carub.0007s2683.1.p	Sp7g05000.1
OG0001220	Carub.0001s2787.1.p	Sp1g25550.1
OG0001220	Carub.0001s2788.1.p	Sp1g25555.1
OG0001221	Carub.0001s3736.1.p, Carub.0001s3732.1.p, Carub.0001s3730.1.p	Sp1g35180.1
OG0001221	Carub.0003s1713.1.p	Sp3g15580.1
OG0001222	Carub.0002s0938.1.p	SpUn0001_0760.1
OG0001222	Carub.0007s3767.1.p	Sp2g20020.1, Sp2g20015.1
OG0001223	Carub.0001s2308.1.p	Sp1g20980.1
OG0001223	Carub.0002s1714.1.p	Sp5g25530.1
OG0001224	Carub.0006s1787.1.p	Sp4g03500.1
OG0001225	Carub.0001s1852.1.p	Sp1g16850.1
OG0001225	Carub.0002s2150.1.p	Sp5g29830.1
OG0001226	Carub.0003s0190.1.p	Sp3g01830.1
OG0001226	Carub.0006s1468.1.p	Sp6g27680.1
OG0001227	Carub.0001s2457.1.p	Sp1g22280.1
OG0001227	Carub.0002s1589.1.p	Sp5g24360.1
OG0001228	Carub.0001s3621.1.p	Sp1g05670.1
OG0001228	Carub.0004s1140.1.p	Sp4g12820.1
OG0001229	Carub.0001s3746.1.p	Sp1g35290.1
OG0001229	Carub.0003s1729.1.p	Sp3g15710.1
OG0001230	Carub.0007s2763.1.p	Sp7g12670.1, Sp7g12680.1
OG0001230	Carub.0003s2316.1.p	Sp3g20690.1
OG0001231	Carub.0005s0637.1.p, Carub.0005s0635.1.p	Sp2g16890.1
OG0001232	Carub.0005s0163.1.p	Sp2g13830.1
OG0001232	Carub.0001s1413.1.p	Sp1g12790.1
OG0001233	Carub.0007s2176.1.p	Sp7g18070.1
OG0001234	Carub.0001s1689.1.p	Sp1g15290.1
OG0001234	Carub.0002s2531.1.p	Sp5g33510.1
OG0001235	Carub.0001s2033.1.p	Sp1g18560.1
OG0001235	Carub.0002s2334.1.p	Sp5g31590.1
OG0001236	Carub.0001s1434.1.p	Sp1g12930.1
OG0001236	Carub.0005s0111.1.p	Sp2g13500.1
OG0001237	Carub.0006s0403.1.p	Sp6g37730.1
OG0001237	Carub.0003s1000.1.p	Sp3g09100.1
OG0001238	Carub.0005s0766.1.p	Sp2g17680.1
OG0001238	Carub.0007s3633.1.p	Sp7g02380.1
OG0001239	Carub.0008s2568.1.p	Sp2g27930.1
OG0001239	Carub.0006s0840.1.p	Sp6g33460.1
OG0001240	Carub.0003s0090.1.p	Sp3g00860.1
OG0001240	Carub.0003s0091.1.p	Sp3g00870.1
OG0001241	Carub.0005s0398.1.p	Sp2g15300.1
OG0001242	Carub.0008s0878.1.p, Carub.0008s0877.1.p, Carub.0263s0001.1.p, Carub.0008s0875.1.p, Carub.0008s0845.1.p	Sp7g36290.1
OG0001243	Carub.0007s2553.1.p	Sp7g14550.1
OG0001243	Carub.0003s1654.1.p	Sp3g15070.1
OG0001244	Carub.0002s2453.1.p	Sp5g32800.1
OG0001244	Carub.0001s2138.1.p	Sp1g19450.1
OG0001245	Carub.0006s2512.1.p	Sp2g20640.1
OG0001245	Carub.0003s0445.1.p	Sp3g04050.1
OG0001246	Carub.0002s0609.1.p	Sp2g05170.1
OG0001246	Carub.0001s0955.1.p	Sp1g08770.1
OG0001247	Carub.0005s1099.1.p	Sp7g07480.1, Sp7g07430.1, Sp7g06000.1
OG0001248	Carub.0005s2547.1.p	Sp5g04170.1
OG0001248	Carub.0004s2512.1.p	Sp4g24820.1
OG0001249	Carub.0002s2036.1.p	Sp5g28800.1
OG0001249	Carub.0002s0763.1.p, Carub.0002s0738.1.p	Sp1g16210.1
OG0001250	Carub.0006s0963.1.p	Sp6g32360.1
OG0001250	Carub.0007s0841.1.p	Sp7g29940.1
OG0001251	Carub.0001s0084.1.p	Sp1g00890.1
OG0001251	Carub.0006s3613.1.p	Sp6g01050.1, Sp6g01070.1
OG0001252	Carub.0006s0359.1.p, Carub.0006s0358.1.p	Sp6g38120.1
OG0001253	Carub.0008s0756.1.p, Carub.0006s2443.1.p	Sp5g26510.1
OG0001253	Carub.0007s0228.1.p	Sp7g35580.1
OG0001254	Carub.0001s2171.1.p	Sp1g19660.1
OG0001254	Carub.0002s2491.1.p	Sp5g33160.1
OG0001255	Carub.0001s2987.1.p	Sp1g27250.1
OG0001255	Carub.0004s1732.1.p	Sp4g17850.1
OG0001256	Carub.0008s2821.1.p	Sp2g30320.1
OG0001256	Carub.0005s1756.1.p	Sp5g11050.1
OG0001257	Carub.0002s1987.1.p	Sp5g28060.1
OG0001257	Carub.0006s0388.1.p	Sp6g37860.1
OG0001258	Carub.0001s1950.1.p	Sp1g17760.1
OG0001258	Carub.0002s2260.1.p	Sp5g30870.1
OG0001259	Carub.0002s1715.1.p	Sp5g25540.1
OG0001259	Carub.0001s2307.1.p	Sp1g20970.1
OG0001260	Carub.0004s0391.1.p	Sp4g03550.1
OG0001260	Carub.0007s0905.1.p	Sp7g29350.1
OG0001261	Carub.0007s1577.1.p	Sp7g23270.1
OG0001261	Carub.0008s1156.1.p	Sp6g13700.1
OG0001262	Carub.0004s1822.1.p	Sp4g18710.1
OG0001262	Carub.0005s1940.1.p	Sp5g09410.1
OG0001263	Carub.0008s2767.1.p	Sp2g29845.1
OG0001263	Carub.0004s0265.1.p	Sp4g02430.1
OG0001264	Carub.0002s1971.1.p	Sp5g27920.1
OG0001268	Carub.0004s2453.1.p	Sp4g24370.1
OG0001268	Carub.0005s2477.1.p	Sp5g04790.1
OG0001269	Carub.0006s2162.1.p	Sp2g23380.1
OG0001269	Carub.0005s1518.1.p	Sp5g13040.1
OG0001270	Carub.0008s0176.1.p	Sp2g11020.1
OG0001271	Carub.0005s1782.1.p, Carub.0005s1783.1.p, Carub.0005s1780.1.p	Sp5g10790.1, Sp5g10800.1
OG0001272	Carub.0008s1565.1.p	Sp6g17230.1
OG0001272	Carub.0007s1414.1.p	Sp7g24680.1
OG0001272	Carub.0008s1564.1.p, Carub.0008s1563.1.p	Sp6g17220.1
OG0001273	Carub.0006s0512.1.p	Sp6g36630.1
OG0001273	Carub.0003s1090.1.p	Sp3g09820.1
OG0001274	Carub.0004s3022.1.p	Sp4g29420.1
OG0001274	Carub.0005s2931.1.p	Sp5g00860.1
OG0001275	Carub.0002s0364.1.p	Sp7g03180.1, Sp7g03190.1
OG0001276	Carub.0005s1513.1.p	Sp5g13090.1
OG0001276	Carub.0004s0305.1.p	Sp4g02800.1
OG0001277	Carub.0004s0955.1.p	Sp4g11410.1
OG0001277	Carub.0001s0721.1.p	Sp1g06550.1
OG0001278	Carub.0001s0121.1.p, Carub.0001s0122.1.p	Sp1g01300.1
OG0001279	Carub.0007s2079.1.p	Sp5g20330.1
OG0001280	Carub.0003s2615.1.p	Sp3g23300.1
OG0001281	Carub.0004s0396.1.p	Sp4g03560.1
OG0001281	Carub.0007s0902.1.p	Sp7g29380.1
OG0001282	Carub.0001s1277.1.p	Sp1g11570.1
OG0001282	Carub.0005s0437.1.p	Sp2g15550.1
OG0001283	Carub.0007s2363.1.p	Sp7g16380.1
OG0001283	Carub.0008s0105.1.p	Sp2g11660.1
OG0001284	Carub.0006s2304.1.p	Sp2g22310.1
OG0001284	Carub.0006s0957.1.p	Sp6g32440.1
OG0001285	Carub.0002s0701.1.p	Sp2g05840.1
OG0001285	Carub.0001s0893.1.p	Sp1g08190.1
OG0001286	Carub.0005s2832.1.p	Sp5g01780.1
OG0001286	Carub.0004s2901.1.p	Sp4g28350.1
OG0001287	Carub.0005s2025.1.p	Sp5g08700.1
OG0001287	Carub.0004s1941.1.p	Sp4g19810.1
OG0001288	Carub.0004s1085.1.p	Sp4g12450.1
OG0001288	Carub.0001s0656.1.p	Sp4g04250.1, Sp1g06020.1
OG0001290	Carub.0003s1838.1.p	Sp3g16680.1
OG0001291	Carub.0005s1928.1.p	Sp5g09530.1
OG0001291	Carub.0004s1809.1.p	Sp4g18560.1
OG0001293	Carub.0006s2141.1.p	Sp2g23560.1
OG0001293	Carub.0005s1490.1.p	Sp5g13280.1
OG0001294	Carub.0007s1509.1.p	Sp7g23880.1, Sp7g23890.1
OG0001295	Carub.0002s0782.1.p	Sp2g06520.1
OG0001295	Carub.0001s0854.1.p, Carub.0001s0855.1.p	Sp1g07820.1
OG0001297	Carub.0004s0504.1.p, Carub.0004s0505.1.p	Sp4g04530.1, Sp4g04580.1
OG0001298	Carub.0005s2310.1.p	Sp5g06180.1
OG0001298	Carub.0004s2281.1.p	SpUn0061_0060.1, Sp4g22850.1
OG0001299	Carub.0004s1749.1.p	Sp4g18010.1
OG0001299	Carub.0007s2508.1.p	Sp7g14980.1
OG0001300	Carub.0008s2411.1.p	Sp2g26490.1
OG0001300	Carub.0008s1046.1.p	Sp6g12520.1, SpUn0050_0020.1, SpUn0015_0140.1
OG0001301	Carub.0002s0702.1.p	Sp2g05890.1, SpUn0028_0050.1
OG0001301	Carub.0001s0892.1.p	Sp1g08180.1
OG0001302	Carub.0002s2645.1.p, Carub.0002s2644.1.p	Sp7g06590.1
OG0001302	Carub.0002s2611.1.p	Sp5g34300.1
OG0001303	Carub.0004s0247.1.p, Carub.0004s0245.1.p	SpUn1716_0010.1, SpUn1105_0010.1
OG0001304	Carub.0012s0006.1.p	Sp5g18810.1
OG0001304	Carub.0007s3068.1.p	Sp7g07600.1
OG0001305	Carub.0006s1768.1.p	Sp6g25070.1
OG0001305	Carub.0003s0539.1.p	Sp3g04920.1
OG0001306	Carub.0001s1882.1.p	Sp1g17120.1
OG0001306	Carub.0006s1907.1.p	Sp6g23750.1
OG0001307	Carub.0002s0152.1.p	Sp2g01220.1
OG0001307	Carub.0007s3433.1.p	SpUn0010_0240.1, Sp7g00760.1
OG0001308	Carub.0001s1920.1.p	Sp1g17500.1
OG0001309	Carub.0003s0845.1.p	Sp3g07720.1
OG0001309	Carub.0006s0102.1.p	Sp6g40260.1
OG0001310	Carub.0006s2617.1.p	Sp2g06090.1, SpUn0004_0280.1
OG0001311	Carub.0003s3418.1.p	Sp3g33240.1
OG0001313	Carub.0002s1698.1.p	Sp5g25430.1
OG0001313	Carub.0006s1303.1.p	Sp6g29200.1
OG0001314	Carub.0008s1469.1.p	Sp6g12060.1
OG0001315	Carub.0007s2190.1.p	Sp7g17950.1
OG0001315	Carub.0008s0277.1.p	Sp2g10290.1
OG0001316	Carub.0006s1970.1.p	Sp6g23130.1
OG0001316	Carub.0005s0986.1.p	Sp5g17220.1
OG0001317	Carub.0003s0972.1.p, Carub.0003s0973.1.p	Sp3g08740.1, Sp3g08750.1
OG0001319	Carub.0006s1526.1.p	Sp4g05480.1
OG0001321	Carub.0004s0564.1.p	Sp4g05630.1
OG0001321	Carub.0007s0769.1.p	Sp7g30570.1
OG0001322	Carub.0007s0439.1.p	Sp7g33620.1
OG0001322	Carub.0003s3186.1.p	Sp3g31140.1
OG0001323	Carub.0002s0352.1.p	Sp2g02920.1
OG0001323	Carub.0001s1102.1.p	Sp1g10020.1
OG0001324	Carub.0003s2109.1.p	Sp3g19120.1
OG0001324	Carub.0001s4044.1.p	Sp1g38230.1
OG0001325	Carub.0001s2584.1.p	Sp1g23550.1
OG0001325	Carub.0001s2642.1.p	Sp1g24160.1
OG0001326	Carub.0005s0221.1.p	Sp2g14220.1, Sp2g14230.1
OG0001326	Carub.0001s1370.1.p	Sp1g12370.1
OG0001328	Carub.0001s4023.1.p	Sp1g38020.1
OG0001328	Carub.0003s2088.1.p	Sp3g18930.1
OG0001330	Carub.0001s0735.1.p	Sp1g06630.1
OG0001330	Carub.0004s0928.1.p	Sp4g11150.1
OG0001331	Carub.0007s3390.1.p	Sp7g00470.1
OG0001331	Carub.0002s0084.1.p	Sp2g00690.1
OG0001332	Carub.0005s1428.1.p	Sp5g13860.1
OG0001333	Carub.0006s3007.1.p	Sp6g06220.1
OG0001333	Carub.0007s1751.1.p	Sp7g21560.1
OG0001334	Carub.0005s2166.1.p	Sp5g07390.1
OG0001334	Carub.0004s2134.1.p	Sp4g21610.1, SpUn0018_0060.1
OG0001335	Carub.0007s0943.1.p	Sp7g28970.1, Sp7g28980.1
OG0001336	Carub.0005s2156.1.p	Sp5g07470.1
OG0001336	Carub.0004s2126.1.p	Sp4g21550.1, SpUn0018_0120.1
OG0001337	Carub.0006s3558.1.p	Sp6g01520.1
OG0001337	Carub.0001s0134.1.p	Sp1g01380.1
OG0001338	Carub.0006s1310.1.p	Sp6g29110.1
OG0001338	Carub.0003s0074.1.p	Sp3g00720.1
OG0001339	Carub.0001s3114.1.p	Sp1g28150.1
OG0001339	Carub.0200s0001.1.p, Carub.0200s0002.1.p, Carub.0006s2935.1.p	Sp6g06860.1
OG0001340	Carub.0008s0076.1.p	Sp2g11870.1
OG0001340	Carub.0007s2371.1.p	Sp7g16470.1
OG0001341	Carub.0003s0170.1.p	Sp3g01620.1
OG0001342	Carub.0001s0708.1.p	Sp1g06480.1
OG0001342	Carub.0004s0961.1.p	Sp4g11490.1
OG0001343	Carub.0007s3307.1.p, Carub.0001s0598.1.p, Carub.0001s0597.1.p	Sp1g05370.1
OG0001344	Carub.0001s3545.1.p	Sp1g33830.1
OG0001344	Carub.0008s0574.1.p	Sp2g07780.1
OG0001345	Carub.0004s1933.1.p	Sp4g19730.1
OG0001346	Carub.0002s1623.1.p	SpUn0193_0010.1
OG0001346	Carub.0001s2423.1.p	Sp1g22020.1
OG0001347	Carub.0001s4269.1.p	Sp1g40040.1
OG0001347	Carub.0003s1439.1.p	Sp3g12950.1
OG0001348	Carub.0008s1073.1.p	Sp6g12810.1
OG0001348	Carub.0008s2426.1.p	Sp2g26620.1
OG0001349	Carub.0003s1323.1.p	Sp3g11920.1
OG0001349	Carub.0001s4369.1.p	Sp1g40870.1
OG0001350	Carub.0002s0431.1.p	Sp2g03630.1
OG0001350	Carub.0001s1054.1.p	Sp1g09680.1
OG0001351	Carub.0001s1407.1.p	Sp1g12740.1
OG0001351	Carub.0005s0171.1.p	Sp2g13900.1
OG0001352	Carub.0002s2720.1.p	Sp5g35440.1
OG0001352	Carub.0001s1534.1.p	Sp1g13940.1
OG0001353	Carub.0004s1376.1.p	Sp4g14780.1
OG0001353	Carub.0001s0445.1.p	SpUn0024_0110.1, Sp1g04030.1
OG0001354	Carub.0007s0483.1.p	Sp7g33260.1
OG0001354	Carub.0003s3153.1.p	Sp3g30810.1
OG0001355	Carub.0001s1288.1.p	Sp1g11670.1
OG0001355	Carub.0005s0404.1.p	Sp2g15340.1
OG0001356	Carub.0002s1746.1.p	Sp5g25900.1
OG0001356	Carub.0001s2279.1.p	Sp1g20670.1
OG0001357	Carub.0004s1794.1.p, Carub.0004s0480.1.p, Carub.0006s1570.1.p	Sp6g26750.1
OG0001358	Carub.0007s1514.1.p	Sp7g23840.1
OG0001359	Carub.0001s2422.1.p	Sp1g22010.1
OG0001359	Carub.0002s1624.1.p	Sp5g24690.1
OG0001360	Carub.0006s0082.1.p	Sp6g40450.1
OG0001360	Carub.0003s0835.1.p	Sp3g07620.1
OG0001361	Carub.0006s0883.1.p	Sp6g33090.1
OG0001361	Carub.0007s0888.1.p	Sp7g29500.1
OG0001362	Carub.0007s0756.1.p	Sp7g30700.1
OG0001362	Carub.0006s1020.1.p	Sp6g31910.1
OG0001363	Carub.0008s1150.1.p	Sp7g36300.1
OG0001364	Carub.0007s3648.1.p	Sp7g02530.1
OG0001365	Carub.0007s1741.1.p	Sp7g21640.1
OG0001365	Carub.0003s0070.1.p	Sp3g00680.1
OG0001366	Carub.0002s0203.1.p	Sp2g01610.1
OG0001366	Carub.0001s1225.1.p	Sp1g11150.1
OG0001367	Carub.0001s0523.1.p	Sp1g04700.1
OG0001367	Carub.0004s1286.1.p	Sp4g14030.1
OG0001368	Carub.0003s1465.1.p	Sp3g13190.1
OG0001368	Carub.0001s4246.1.p	Sp1g39860.1
OG0001369	Carub.0004s2850.1.p	Sp4g27870.1
OG0001369	Carub.0005s2788.1.p	Sp5g02140.1
OG0001370	Carub.0005s2578.1.p	Sp5g03960.1
OG0001370	Carub.0004s1296.1.p	Sp4g14060.1
OG0001371	Carub.0002s1437.1.p	Sp5g22900.1
OG0001371	Carub.0001s1275.1.p	Sp1g11550.1
OG0001372	Carub.0007s1426.1.p	Sp7g24570.1
OG0001372	Carub.0008s1624.1.p	Sp6g17760.1
OG0001373	Carub.0004s0060.1.p	Sp4g00720.1
OG0001374	Carub.0003s2272.1.p, Carub.0007s2731.1.p	Sp7g12950.1
OG0001374	Carub.0003s2275.1.p	Sp3g20370.1
OG0001375	Carub.0007s1483.1.p	Sp7g24140.1
OG0001375	Carub.0002s0054.1.p	Sp2g00470.1
OG0001376	Carub.0008s2415.1.p	Sp2g26530.1
OG0001376	Carub.0005s1471.1.p	Sp5g13460.1
OG0001377	Carub.0004s2250.1.p	Sp4g22600.1
OG0001377	Carub.0005s2278.1.p	Sp5g06490.1
OG0001378	Carub.0002s0488.1.p	Sp2g04280.1
OG0001378	Carub.0003s2567.1.p	Sp3g22910.1
OG0001379	Carub.0002s2379.1.p	Sp5g32050.1, Sp5g32055.1
OG0001379	Carub.0001s2071.1.p	Sp1g18860.1
OG0001380	Carub.0005s2767.1.p	Sp5g02330.1
OG0001380	Carub.0004s2816.1.p	Sp4g27560.1
OG0001381	Carub.0006s3011.1.p	Sp6g06190.1
OG0001381	Carub.0007s1759.1.p	Sp7g21490.1
OG0001382	Carub.0004s1812.1.p	Sp4g18600.1, Sp7g04640.1, SpUn0053_0030.1, Sp7g05390.1
OG0001382	Carub.0007s3436.1.p, Carub.0007s3435.1.p	Sp4g18590.1
OG0001383	Carub.0003s2762.1.p	Sp6g33780.1
